怪兽电力公司,2001,8.8,611511人评价
玛丽和马克思,2009,8.9,399823人评价
教父3,1990,9.0,337544人评价
一个叫欧维的男人决定去死,2015,8.9,419537人评价
寄生虫,2019,8.8,1265150人评价
玩具总动员3,2010,8.9,470119人评价
大鱼,2003,8.8,529602人评价
傲慢与偏见,2005,8.7,728013人评价
告白,2010,8.8,630901人评价
神偷奶爸,2010,8.6,879964人评价
釜山行,2016,8.6,1099997人评价
未麻的部屋,1997,9.0,290829人评价
阳光姐妹淘,2011,8.8,559988人评价
被解救的姜戈,2012,8.8,560184人评价
射雕英雄传之东成西就,1993,8.7,587655人评价
哈利·波特与火焰杯,2005,8.7,580902人评价
哪吒闹海,1979,9.1,235722人评价
恐怖直播,2013,8.7,601536人评价
我是山姆,2001,9.0,309354人评价
头号玩家,2018,8.7,1264643人评价
血战钢锯岭,2016,8.7,731646人评价
新世界,2013,8.9,367484人评价
模仿游戏,2014,8.8,590930人评价
喜宴,1993,9.0,323514人评价
七武士,1954,9.3,179839人评价
花样年华,2000,8.7,546841人评价
黑客帝国3：矩阵革命,2003,8.8,414872人评价
头脑特工队,2015,8.8,557084人评价
电锯惊魂,2004,8.7,486020人评价
三块广告牌,2017,8.7,763704人评价
达拉斯买家俱乐部,2013,8.8,419969人评价
卢旺达饭店,2004,8.9,301061人评价
你的名字。,2016,8.5,1279098人评价
九品芝麻官,1994,8.7,600545人评价
疯狂原始人,2013,8.7,781915人评价
上帝之城,2002,9.0,281295人评价
谍影重重3,2007,8.8,389003人评价
惊魂记,1960,9.0,255722人评价
风之谷,1984,8.9,333090人评价
心迷宫,2014,8.7,472509人评价
英雄本色,1986,8.6,489699人评价
纵横四海,1991,8.8,386478人评价
海街日记,2015,8.8,407430人评价
岁月神偷,2010,8.7,544382人评价
记忆碎片,2000,8.7,560785人评价
忠犬八公物语,1987,9.2,177774人评价
荒蛮故事,2014,8.8,407252人评价
爱在午夜降临前,2013,8.9,355259人评价
绿里奇迹,1999,8.9,294631人评价
色，戒,2007,8.6,692569人评价
爆裂鼓手,2014,8.7,533640人评价
小偷家族,2018,8.7,761345人评价
贫民窟的百万富翁,2008,8.6,698428人评价
